activity,mean,median,count
Request For Payment REJECTED by MISSING,377.86311111111115,17.42388888888889,25
Request For Payment REJECTED by EMPLOYEE,184.25285276890307,18.087916666666665,626
Request For Payment REJECTED by SUPERVISOR,132.87416985951467,44.12236111111111,174
Request For Payment FINAL_APPROVED by DIRECTOR,117.71969969969972,23.96638888888889,37
Request For Payment APPROVED by SUPERVISOR,88.58807807807808,45.73638888888889,37
Request Payment,85.14293177450928,77.57527777777777,6187
Request For Payment FINAL_APPROVED by SUPERVISOR,81.97223585192336,29.929444444444446,6216
Request For Payment REJECTED by ADMINISTRATION,75.72596411192214,37.41263888888889,822
Request For Payment APPROVED by BUDGET OWNER,75.57823126350506,49.73708333333333,1954
Request For Payment APPROVED by ADMINISTRATION,58.78022535123711,25.25263888888889,5362
Request For Payment APPROVED by PRE_APPROVER,44.245234732311,22.06888888888889,413
Request For Payment REJECTED by PRE_APPROVER,38.54712962962963,20.613611111111112,51
Request For Payment REJECTED by BUDGET OWNER,37.34101654846336,23.91611111111111,47
Request For Payment SUBMITTED by EMPLOYEE,15.761768479524218,0.005555555555555556,7361
